Pos	|	Up	|	Right	|	Down	|	Left	|
0,0	|	6.14	|	10.17	|	6.38	|	6.00	|
0,1	|	6.72	|	4.48	|	14.81	|	6.05	|
0,2	|	4.96	|	3.75	|	6.88	|	6.60	|
0,3	|	3.77	|	2.37	|	1.49	|	4.99	|
0,4	|	1.15	|	0.60	|	1.97	|	3.57	|
0,5	|	0.04	|	0.42	|	0.00	|	2.47	|
1,0	|	6.06	|	11.50	|	5.12	|	5.98	|
1,1	|	5.72	|	5.56	|	6.98	|	5.74	|
1,2	|	4.77	|	-0.18	|	10.73	|	5.36	|
1,3	|	3.60	|	8.49	|	14.01	|	6.66	|
1,4	|	2.47	|	4.78	|	12.11	|	0.13	|
1,5	|	0.63	|	2.81	|	10.80	|	8.16	|
2,0	|	5.96	|	6.84	|	4.14	|	5.04	|
2,1	|	5.20	|	9.93	|	0.21	|	4.62	|
2,2	|	6.97	|	14.11	|	13.44	|	6.18	|
2,3	|	0.67	|	12.33	|	20.75	|	9.83	|
2,4	|	8.35	|	15.80	|	16.24	|	13.63	|
2,5	|	6.07	|	17.27	|	23.52	|	12.57	|
3,0	|	4.85	|	0.17	|	5.56	|	3.90	|
3,1	|	6.75	|	14.14	|	8.15	|	4.43	|
3,2	|	9.72	|	19.72	|	11.72	|	0.79	|
3,3	|	12.57	|	16.39	|	15.76	|	13.59	|
3,4	|	12.13	|	23.77	|	14.48	|	11.67	|
3,5	|	16.58	|	24.64	|	35.23	|	16.45	|
4,0	|	4.29	|	8.26	|	3.97	|	4.01	|
4,1	|	1.01	|	11.93	|	7.84	|	5.61	|
4,2	|	14.04	|	16.33	|	15.55	|	7.93	|
4,3	|	14.41	|	16.05	|	22.67	|	11.39	|
4,4	|	16.22	|	32.17	|	32.43	|	16.42	|
4,5	|	23.66	|	34.00	|	46.39	|	14.32	|
5,0	|	1.05	|	8.71	|	0.32	|	0.44	|
5,1	|	7.42	|	16.48	|	4.22	|	2.27	|
5,2	|	11.78	|	24.71	|	17.06	|	10.20	|
5,3	|	15.92	|	32.82	|	23.34	|	16.81	|
5,4	|	15.29	|	47.10	|	33.48	|	23.41	|
5,5	|	0.00	|	0.00	|	0.00	|	0.00	|
